sigma, beta, L
0.020358701995315975, 0.010177594609558582, -181677.21369753397
0.896839748095557, 0.35432456340640783, -135289.3483578277
-1.0005464430144828, 9.313225746154785e-10, -181704.37474580336
1.732909007590143, 0.4957694010809064, -41762.49097694244
0.2881218043272922, 0.13942404370754957, -176353.57790049334
-1.4702122100277055, 9.313225746154785e-10, -181704.37486046785
1.9822661695861328, 0.7816482568159699, -4187.406003537646
1.0125127335841855, 0.3812647024169564, -124126.08857271262
1.729221016962648, 0.4945850046351552, -42241.21897977093
-0.9833988803922198, 9.313225746154785e-10, -181704.37474161695
-0.09434492626974045, 9.313225746154785e-10, -181704.37452456277
-1.1759113817080067, 9.313225746154785e-10, -181704.37478861707
-1.068094962113296, 9.313225746154785e-10, -181704.3747622947
-0.9992889273761847, 9.313225746154785e-10, -181704.37474549634
1.118972182633592, 0.40236800629645586, -113183.1955524871
-0.5571656917643226, 9.313225746154785e-10, -181704.37463755612
-1.3460828492784573, 9.313225746154785e-10, -181704.37483016282
0.9105214823719043, 0.3577311085537076, -134012.4066194064
1.072580717405354, 0.3936052033677697, -118023.88752899223
-1.8073101502457165, 9.313225746154785e-10, -181704.37494276714
-1.2152181048767385, 9.313225746154785e-10, -181704.37479821342
-1.4871408613542636, 9.313225746154785e-10, -181704.37486460083
1.2581485823929004, 0.4245538944378495, -98079.2908160974
0.6615619563127497, 0.28618847485631704, -155135.827972812
-0.3983733787118737, 9.313225746154785e-10, -181704.37459878845
0.9935545572635993, 0.3771368646994233, -126010.67647372009
0.5490170422850369, 0.2469742065295577, -163011.55812004657
-1.1374429206088843, 9.313225746154785e-10, -181704.37477922536
-0.44501080410430305, 9.313225746154785e-10, -181704.37461017453
-1.6628168422661735, 9.313225746154785e-10, -181704.37490749048
